%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4
106331000000,5293,106331000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203864006375625e-10,5.97718319284013e-10,1.212080528320619e-12,-7.161264009780258e-13,-2.769140366110056e-13,1.7132349805031421e-13,-9.364633491853084e-13,0.0,0.0,0.0,0.0,0.0
106351000000,5294,106351000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.212080525270694e-12,-7.161264062290253e-13,-2.7691404162429627e-13,1.71323493667773e-13,-9.36463354157524e-13,0.0,0.0,0.0,0.0,0.0
106371000000,5295,106371000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805285771554e-12,-7.161264005369275e-13,-2.7691403618960756e-13,1.71323498418866e-13,-9.364633487678565e-13,0.0,0.0,0.0,0.0,0.0
106391000000,5296,106391000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805283196046e-12,-7.161264009804762e-13,-2.769140366129958e-13,1.713234980487885e-13,-9.364633491880747e-13,0.0,0.0,0.0,0.0,0.0
106411000000,5297,106411000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805283205741e-12,-7.161264009786187e-13,-2.769140366112425e-13,1.7132349805027302e-13,-9.3646334918615e-13,0.0,0.0,0.0,0.0,0.0
106431000000,5298,106431000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805288281736e-12,-7.16126400104823e-13,-2.769140357769141e-13,1.7132349877967183e-13,-9.364633483586886e-13,0.0,0.0,0.0,0.0,0.0
106451000000,5299,106451000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805293385402e-12,-7.161263992266641e-13,-2.769140349382913e-13,1.7132349951293877e-13,-9.364633475275076e-13,0.0,0.0,0.0,0.0,0.0
106471000000,5300,106471000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292495413617871e-10,5.98100236004484e-10,-5.203864006375625e-10,5.97718319284013e-10,1.2120805288281672e-12,-7.161264001048306e-13,-2.769140357768513e-13,1.713234987797203e-13,-9.364633483587712e-13,0.0,0.0,0.0,0.0,0.0
106491000000,5301,106491000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805278103042e-12,-7.161264018570441e-13,-2.7691403744995637e-13,1.7132349731696105e-13,-9.36463350017946e-13,0.0,0.0,0.0,0.0,0.0
106511000000,5302,106511000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805275585784e-12,-7.16126402290282e-13,-2.7691403786359534e-13,1.713234969553262e-13,-9.364633504280053e-13,0.0,0.0,0.0,0.0,0.0
106531000000,5303,106531000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805270484321e-12,-7.16126403168867e-13,-2.769140387022832e-13,1.7132349622224082e-13,-9.364633512601795e-13,0.0,0.0,0.0,0.0,0.0
106551000000,5304,106551000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805280674645e-12,-7.161264014140813e-13,-2.7691403702729817e-13,1.7132349768653408e-13,-9.364633495981962e-13,0.0,0.0,0.0,0.0,0.0
106571000000,5305,106571000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805283224207e-12,-7.161264009755428e-13,-2.769140366084356e-13,1.7132349805281898e-13,-9.36463349183253e-13,0.0,0.0,0.0,0.0,0.0
106591000000,5306,106591000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805298485472e-12,-7.161263983480992e-13,-2.769140340998549e-13,1.7132350024580686e-13,-9.364633466952963e-13,0.0,0.0,0.0,0.0,0.0
106611000000,5307,106611000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203864006375625e-10,5.977165429271736e-10,1.2120805280682846e-12,-7.161264014130426e-13,-2.769140370260762e-13,1.7132349768770598e-13,-9.364633495975756e-13,0.0,0.0,0.0,0.0,0.0
106631000000,5308,106631000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.98100236004484e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805280657698e-12,-7.161264014170085e-13,-2.76914037029936e-13,1.713234976842351e-13,-9.364633496011272e-13,0.0,0.0,0.0,0.0,0.0
106651000000,5309,106651000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.98100236004484e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805290839711e-12,-7.161263996643075e-13,-2.76914035356423e-13,1.713234991472906e-13,-9.364633479414986e-13,0.0,0.0,0.0,0.0,0.0
106671000000,5310,106671000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805280636513e-12,-7.161264014206254e-13,-2.7691403703348507e-13,1.7132349768103845e-13,-9.364633496045343e-13,0.0,0.0,0.0,0.0,0.0
106691000000,5311,106691000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805293364133e-12,-7.161263992297059e-13,-2.7691403494157256e-13,1.7132349950986693e-13,-9.36463347529981e-13,0.0,0.0,0.0,0.0,0.0
106711000000,5312,106711000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805283191597e-12,-7.161264009812475e-13,-2.769140366137444e-13,1.7132349804812792e-13,-9.364633491887016e-13,0.0,0.0,0.0,0.0,0.0
106731000000,5313,106731000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.212080527047165e-12,-7.161264031707485e-13,-2.769140387042538e-13,1.713234962205085e-13,-9.36463351261647e-13,0.0,0.0,0.0,0.0,0.0
106751000000,5314,106751000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203864006375625e-10,5.977165429271736e-10,1.212080527304748e-12,-7.161264027277002e-13,-2.7691403828109517e-13,1.7132349659053572e-13,-9.364633508424287e-13,0.0,0.0,0.0,0.0,0.0
106771000000,5315,106771000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203864006375625e-10,5.97718319284013e-10,1.2120805280695983e-12,-7.161264014108662e-13,-2.769140370238263e-13,1.713234976896263e-13,-9.364633495954325e-13,0.0,0.0,0.0,0.0,0.0
106791000000,5316,106791000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805280672327e-12,-7.16126401415155e-13,-2.769140370278079e-13,1.7132349768621076e-13,-9.36463349599748e-13,0.0,0.0,0.0,0.0,0.0
106811000000,5317,106811000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292495413617871e-10,5.98100236004484e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805285730052e-12,-7.161264005440892e-13,-2.7691403619621693e-13,1.7132349841309956e-13,-9.364633487747752e-13,0.0,0.0,0.0,0.0,0.0
106831000000,5318,106831000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805290825355e-12,-7.161263996669577e-13,-2.769140353588777e-13,1.7132349914503161e-13,-9.364633479443784e-13,0.0,0.0,0.0,0.0,0.0
106851000000,5319,106851000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292495413617871e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805288276142e-12,-7.161264001055365e-13,-2.7691403577766536e-13,1.7132349877885152e-13,-9.364633483594619e-13,0.0,0.0,0.0,0.0,0.0
106871000000,5320,106871000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.212080529084628e-12,-7.161263996630659e-13,-2.7691403535548154e-13,1.7132349914806528e-13,-9.364633479401552e-13,0.0,0.0,0.0,0.0,0.0
106891000000,5321,106891000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203864006375625e-10,5.977165429271736e-10,1.2120805270493215e-12,-7.161264031670329e-13,-2.7691403870088145e-13,1.713234962235026e-13,-9.364633512581166e-13,0.0,0.0,0.0,0.0,0.0
106911000000,5322,106911000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203864006375625e-10,5.97718319284013e-10,1.2120805273019628e-12,-7.161264027317921e-13,-2.7691403828538536e-13,1.7132349658665104e-13,-9.36463350845816e-13,0.0,0.0,0.0,0.0,0.0
106931000000,5323,106931000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805285749903e-12,-7.161264005406767e-13,-2.7691403619320184e-13,1.7132349841579032e-13,-9.364633487714596e-13,0.0,0.0,0.0,0.0,0.0
106951000000,5324,106951000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292513177186265e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.212080527048136e-12,-7.161264031688789e-13,-2.769140387025839e-13,1.7132349622197546e-13,-9.364633512597784e-13,0.0,0.0,0.0,0.0,0.0
