"(-0.4195, 0.3131, 0.3209, 0.0296, 0.3842)",[2.7298 2.1974 0.25  ]
"(-0.4213, 0.3129, 0.3212, 0.0297, 0.4736)",[2.5249 2.3971 0.25  ]
"(-0.4297, 0.3046, 0.3134, -0.2834, 0.4651)",[2.7923 2.1356 0.25  ]
"(-0.4169, 0.3194, 0.4674, -0.2717, 0.4787)",[2.5467 2.3412 0.25  ]
"(-0.422, -0.4858, 0.4534, -0.284, 0.4607)",[3.5327 0.6228 0.25  ]
"(-0.4315, -0.4796, 0.4686, -0.2847, 0.4713)",[3.5317 0.5923 0.25  ]
"(-0.4201, -0.4366, 0.4739, -0.277, 0.4748)",[3.5136 0.7401 0.25  ]
"(-0.4263, -0.4478, -0.2149, -0.2879, 0.4629)",[ 3.3607 -0.4887  0.25  ]
"(-0.4177, 0.1465, -0.203, -0.2757, 0.4798)",[3.4167 0.9484 0.25  ]
"(-0.4194, 0.1331, -0.2132, -0.2806, 0.2214)",[3.5541 0.2085 0.25  ]
"(-0.4199, 0.1339, -0.2134, -0.2811, -0.1375)",[ 3.4195 -0.9362  0.25  ]
"(-0.4185, 0.3089, -0.2013, -0.2737, -0.1191)",[ 3.5312 -0.5235  0.25  ]
"(-0.416, 0.3045, 0.0423, -0.2751, -0.126)",[ 3.6149 -0.0963  0.25  ]
"(-0.3259, 0.2997, 0.0402, -0.2785, -0.1305)",[ 3.6332 -0.0597  0.25  ]
"(-0.3203, 0.3047, 0.0423, -0.2794, 0.4958)",[3.0697 1.8301 0.25  ]
"(0.4465, 0.3033, 0.0437, -0.2754, 0.4931)",[2.8376 2.1478 0.25  ]
"(0.0653, 0.2968, 0.0364, -0.2842, 0.487)",[3.0025 1.9841 0.25  ]
"(0.0603, 0.2965, 0.0385, -0.2802, -0.2339)",[ 3.6642 -0.1922  0.25  ]
"(0.069, 0.3062, 0.0474, 0.2109, -0.2245)",[3.6054 0.3814 0.25  ]
"(0.2437, 0.3017, 0.0415, 0.2114, -0.2283)",[3.5677 0.4422 0.25  ]
"(0.2498, 0.3048, 0.0426, 0.2107, 0.4059)",[2.6973 2.2281 0.25  ]
"(0.2503, 0.293, 0.0362, 0.2088, 0.0614)",[3.2949 1.3604 0.25  ]
"(0.2437, 0.2998, 0.0381, 0.0231, 0.0705)",[3.4141 1.201  0.25  ]
"(0.2592, 0.3052, 0.0463, 0.3725, 0.0746)",[3.1482 1.5076 0.25  ]
"(0.2425, 0.2944, 0.0323, 0.1598, 0.0658)",[3.3426 1.2921 0.25  ]
"(0.232, 0.2933, 0.0324, 0.1538, 0.0637)",[3.3624 1.2628 0.25  ]
"(0.4351, 0.3016, 0.0421, 0.1632, 0.0714)",[3.2534 1.3816 0.25  ]
"(-0.0266, 0.2977, 0.0375, 0.1569, 0.0678)",[3.4234 1.1977 0.25  ]
"(-0.0297, 0.2974, 0.039, 0.1599, -0.3023)",[3.6494 0.0644 0.25  ]
"(-0.0355, 0.2968, 0.0359, -0.4902, -0.3027)",[ 3.542  -0.7235  0.25  ]
"(-0.0318, -0.2551, 0.035, -0.4931, -0.3069)",[ 2.9074 -1.9428  0.25  ]
"(-0.0298, -0.0647, 0.0465, -0.4855, -0.2917)",[ 3.1909 -1.5799  0.25  ]
"(-0.0189, -0.0726, -0.0004, -0.4865, -0.3037)",[ 3.1731 -1.6061  0.25  ]
"(-0.0294, 0.098, 0.0082, -0.4842, -0.2898)",[ 3.3559 -1.2679  0.25  ]
"(-0.0357, 0.0785, -0.1795, -0.5014, -0.3106)",[ 3.1396 -1.5812  0.25  ]
"(-0.0304, 0.0965, -0.1668, -0.4892, 0.2379)",[3.5655 0.0639 0.25  ]
"(-0.0289, -0.0579, -0.1782, -0.4954, 0.2198)",[ 3.5279 -0.2793  0.25  ]
"(-0.0379, -0.0433, -0.0782, -0.4888, 0.2371)",[ 3.5633 -0.1252  0.25  ]
"(-0.0303, -0.0604, -0.0864, -0.4925, -0.0326)",[ 3.4365 -0.9211  0.25  ]
"(-0.0399, 0.0037, -0.0778, -0.4919, -0.0149)",[ 3.4725 -0.8004  0.25  ]
"(-0.0292, 0.01, -0.0627, -0.4828, -0.0101)",[ 3.5068 -0.7122  0.25  ]
"(-0.0295, -0.0058, -0.0728, -0.4905, -0.3371)",[ 3.1224 -1.6577  0.25  ]
"(-0.0308, -0.362, -0.0733, -0.4918, -0.3348)",[ 2.4886 -2.2934  0.25  ]
"(-0.0304, -0.3552, -0.0679, -0.4897, 0.4054)",[ 3.4762 -0.3478  0.25  ]
"(-0.0285, 0.4445, -0.0653, -0.4871, 0.4066)",[3.1674 1.6121 0.25  ]
"(-0.0296, 0.4358, -0.0718, -0.4902, -0.1945)",[ 3.5952 -0.1795  0.25  ]
"(0.4054, 0.444, -0.0658, -0.4852, -0.1862)",[3.6167 0.0231 0.25  ]
"(0.4104, 0.4366, -0.0714, -0.4901, -0.4635)",[ 3.5047 -0.8401  0.25  ]
"(0.4084, 0.3656, -0.0743, -0.4927, -0.466)",[ 3.4501 -1.0451  0.25  ]
"(0.4103, 0.3789, -0.0644, -0.4876, 0.1108)",[3.5307 0.7704 0.25  ]
"(0.4106, 0.3633, -0.0734, -0.4907, -0.1782)",[ 3.6222 -0.1094  0.25  ]
"(0.4161, 0.3816, 0.1099, -0.4785, -0.1592)",[3.6139 0.2523 0.25  ]
"(0.4128, 0.3734, 0.4412, -0.4864, -0.167)",[3.4563 0.798  0.25  ]
"(0.4213, 0.3553, 0.4467, -0.4812, -0.1658)",[3.4469 0.8218 0.25  ]
"(0.4189, 0.3557, 0.4467, 0.1828, -0.1649)",[3.0119 1.3872 0.25  ]
"(0.4064, 0.3425, 0.2551, 0.1721, -0.1764)",[3.259  1.1077 0.25  ]
"(0.4102, 0.347, 0.2587, 0.1797, -0.4235)",[3.4392 0.3912 0.25  ]
"(-0.326, 0.347, 0.2567, 0.1761, -0.4227)",[3.5838 0.0456 0.25  ]
"(-0.3344, 0.3446, -0.3129, 0.1745, -0.4249)",[ 3.5065 -0.9982  0.25  ]
"(-0.3328, 0.357, -0.1779, 0.1839, -0.4132)",[ 3.5769 -0.7578  0.25  ]
"(0.1943, 0.353, -0.1765, 0.1848, -0.4173)",[ 3.6125 -0.4835  0.25  ]
"(0.1962, 0.3449, -0.4125, 0.1744, -0.4245)",[ 3.5216 -0.932   0.25  ]
"(0.1995, 0.3555, -0.4073, 0.1806, 0.4966)",[3.0545 1.8904 0.25  ]
"(0.2133, 0.3523, -0.4354, 0.1879, 0.491)",[3.0301 1.9169 0.25  ]
"(0.1984, 0.0953, -0.4446, 0.177, 0.4837)",[3.3914 1.2911 0.25  ]
"(-0.3464, 0.0977, -0.4426, 0.1767, 0.4879)",[3.4605 1.0347 0.25  ]
"(-0.3448, 0.1063, 0.2942, 0.1863, 0.4958)",[2.7556 2.2173 0.25  ]
"(-0.0259, 0.1019, 0.2925, 0.1836, 0.4916)",[2.6364 2.3122 0.25  ]
"(-0.0211, -0.2329, 0.2857, 0.1775, 0.4837)",[3.1904 1.6793 0.25  ]
"(-0.0219, -0.4952, 0.285, 0.1767, 0.4831)",[3.4716 1.0489 0.25  ]
"(-0.0256, -0.4935, 0.2858, -0.4211, 0.487)",[3.5779 0.3553 0.25  ]
"(-0.3463, -0.4922, 0.2876, -0.4229, 0.488)",[3.5306 0.2057 0.25  ]
"(0.096, -0.4875, 0.2929, -0.4164, 0.4923)",[3.5803 0.4448 0.25  ]
"(0.1008, 0.1416, 0.2934, -0.4181, 0.495)",[3.047  1.9052 0.25  ]
"(0.1064, 0.1434, 0.2948, -0.0815, 0.4925)",[2.77   2.2306 0.25  ]
"(0.0978, -0.2269, 0.2831, -0.0844, 0.4804)",[3.3341 1.4736 0.25  ]
"(0.1047, 0.262, 0.3009, -0.0724, 0.5041)",[2.5159 2.4392 0.25  ]
"(0.1005, 0.2436, 0.287, -0.0807, -0.4176)",[ 3.623  -0.1839  0.25  ]
"(0.1074, 0.2608, 0.3022, 0.1043, -0.4005)",[3.5794 0.067  0.25  ]
"(0.0956, 0.2434, 0.0271, 0.0926, -0.4157)",[ 3.6257 -0.4811  0.25  ]
"(0.0993, -0.0912, 0.0271, 0.0984, -0.4142)",[ 3.4197 -1.3148  0.25  ]
"(0.0992, -0.4821, 0.027, 0.0983, -0.4143)",[ 2.8414 -2.1501  0.25  ]
"(0.107, -0.4709, 0.04, 0.256, -0.4017)",[ 2.9777 -1.9707  0.25  ]
"(0.0731, -0.4847, 0.0257, 0.2468, -0.4148)",[ 2.9219 -2.0417  0.25  ]
"(0.0659, -0.4822, 0.027, -0.3387, -0.4117)",[ 2.4035 -2.467   0.25  ]
"(0.071, -0.4745, 0.0354, -0.2288, -0.4047)",[ 2.533  -2.3983  0.25  ]
"(0.0706, 0.2812, 0.0328, -0.2285, -0.4059)",[ 3.5739 -0.8202  0.25  ]
"(0.0713, 0.3936, 0.0337, -0.2278, -0.4048)",[ 3.6201 -0.5165  0.25  ]
"(0.0675, 0.0024, 0.0226, -0.2347, -0.4202)",[ 3.3388 -1.4763  0.25  ]
"(0.2078, 0.0196, 0.0407, -0.2183, -0.4013)",[ 3.4111 -1.3274  0.25  ]
"(0.2107, -0.1333, 0.025, -0.2331, -0.4163)",[ 3.205  -1.7039  0.25  ]
"(-0.4774, -0.1344, 0.0252, -0.2355, -0.4141)",[ 2.9296 -1.9518  0.25  ]
"(-0.4795, 0.0821, 0.0341, -0.2274, -0.4042)",[ 3.243  -1.5075  0.25  ]
"(-0.4862, 0.0712, -0.2165, -0.2397, -0.418)",[ 2.9589 -1.8479  0.25  ]
"(-0.4815, -0.1643, -0.2142, -0.2326, -0.4157)",[ 2.5463 -2.2504  0.25  ]
"(-0.4802, -0.1531, -0.2062, -0.2288, 0.3886)",[ 3.507  -0.0413  0.25  ]
"(-0.4738, -0.1598, -0.2082, -0.0526, 0.3796)",[3.5723 0.1336 0.25  ]
"(-0.4786, -0.1582, 0.3591, -0.048, 0.3814)",[3.4295 1.1768 0.25  ]
"(-0.4772, -0.1561, 0.3633, -0.0396, 0.3838)",[3.4148 1.213  0.25  ]
"(-0.4756, -0.1633, 0.2885, -0.0403, 0.3762)",[3.4679 1.0918 0.25  ]
"(-0.4809, -0.2728, 0.287, -0.0418, 0.3757)",[3.5466 0.8057 0.25  ]
"(-0.4807, -0.3289, 0.289, -0.0405, 0.3784)",[3.5709 0.6761 0.25  ]
"(-0.4785, 0.3145, 0.2954, -0.0369, 0.3877)",[2.8454 2.0828 0.25  ]
"(-0.4798, 0.3019, 0.2856, -0.0415, -0.1499)",[3.554  0.5902 0.25  ]
"(-0.4834, 0.3056, -0.2206, -0.0446, -0.1437)",[ 3.6093 -0.3338  0.25  ]
"(-0.4809, -0.4827, -0.2231, -0.0418, -0.1443)",[ 2.6927 -2.0562  0.25  ]
"(-0.4825, -0.4811, -0.2206, -0.0412, -0.1802)",[ 2.6179 -2.1322  0.25  ]
"(-0.4884, -0.4808, -0.1629, -0.0445, -0.1799)",[ 2.6572 -2.1178  0.25  ]
"(-0.4869, -0.4877, -0.1692, -0.2421, -0.1864)",[ 2.4583 -2.205   0.25  ]
"(0.4554, -0.476, -0.1555, -0.2345, -0.1763)",[ 2.8863 -1.9486  0.25  ]
"(0.4547, -0.4338, -0.1637, -0.2443, -0.1819)",[ 2.9181 -1.9182  0.25  ]
"(0.4604, -0.2681, -0.1566, -0.2379, -0.1754)",[ 3.2006 -1.5712  0.25  ]
"(0.4656, -0.276, -0.2622, -0.2415, -0.1863)",[ 3.0972 -1.6937  0.25  ]
"(0.4664, -0.2621, 0.3139, -0.2318, -0.1728)",[ 3.5592 -0.7555  0.25  ]
"(0.4667, -0.2665, 0.3148, 0.4694, -0.1772)",[3.4348 0.032  0.25  ]
"(0.4613, -0.2685, 0.4688, 0.4718, -0.1789)",[3.3428 0.2822 0.25  ]
"(0.4578, -0.4681, 0.4621, 0.4643, -0.1901)",[ 3.3788 -0.1638  0.25  ]
"(0.4605, -0.4501, 0.4762, 0.4726, 0.3519)",[3.0391 1.3853 0.25  ]
"(0.4515, -0.4702, -0.3477, 0.4599, 0.3304)",[3.53   0.0136 0.25  ]
"(0.4792, -0.453, -0.3334, 0.4753, 0.3469)",[3.5257 0.0977 0.25  ]
"(0.4717, -0.464, -0.3459, 0.2, 0.337)",[ 3.5417 -0.2561  0.25  ]
"(0.4765, -0.4614, -0.3423, -0.0579, 0.3391)",[ 3.4852 -0.5343  0.25  ]
"(0.4799, -0.4983, -0.3391, -0.0584, 0.3398)",[ 3.4607 -0.6046  0.25  ]
"(-0.1665, -0.5026, -0.3428, -0.0634, 0.3377)",[ 3.3263 -0.9318  0.25  ]
"(-0.1663, -0.4953, -0.3347, 0.0704, 0.344)",[ 3.4223 -0.7684  0.25  ]
