%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4
222891000000,11126,222891000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805275590639e-12,-7.161264022899847e-13,-2.7691403786340995e-13,1.7132349695581977e-13,-9.364633504277642e-13,0.0,0.0,0.0,0.0,0.0
222911000000,11127,222911000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805278131707e-12,-7.161264018522959e-13,-2.769140374455555e-13,1.713234973210495e-13,-9.364633500131603e-13,0.0,0.0,0.0,0.0,0.0
222931000000,11128,222931000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805288304373e-12,-7.161264001009159e-13,-2.769140357737128e-13,1.7132349878268147e-13,-9.36463348354808e-13,0.0,0.0,0.0,0.0,0.0
222951000000,11129,222951000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.21208052730607e-12,-7.161264027249569e-13,-2.769140382790854e-13,1.7132349659240536e-13,-9.364633508392126e-13,0.0,0.0,0.0,0.0,0.0
222971000000,11130,222971000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805288281338e-12,-7.161264001048674e-13,-2.7691403577740686e-13,1.7132349877945938e-13,-9.364633483586288e-13,0.0,0.0,0.0,0.0,0.0
222991000000,11131,222991000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805285764048e-12,-7.161264005381097e-13,-2.769140361910511e-13,1.713234984178205e-13,-9.364633487686927e-13,0.0,0.0,0.0,0.0,0.0
223011000000,11132,223011000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.98100236004484e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805278114442e-12,-7.161264018552234e-13,-2.769140374484757e-13,1.7132349731863096e-13,-9.364633500160554e-13,0.0,0.0,0.0,0.0,0.0
223031000000,11133,223031000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.98100236004484e-10,-5.203881769944019e-10,5.97718319284013e-10,1.212080527049053e-12,-7.161264031674917e-13,-2.76914038701413e-13,1.713234962232441e-13,-9.36463351258405e-13,0.0,0.0,0.0,0.0,0.0
223051000000,11134,223051000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.212080528829906e-12,-7.161264001017626e-13,-2.769140357744665e-13,1.7132349878194093e-13,-9.364633483557388e-13,0.0,0.0,0.0,0.0,0.0
223071000000,11135,223071000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805280649604e-12,-7.161264014184843e-13,-2.7691403703164713e-13,1.7132349768284407e-13,-9.364633496023207e-13,0.0,0.0,0.0,0.0,0.0
223091000000,11136,223091000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.212080528573409e-12,-7.161264005432741e-13,-2.769140361959542e-13,1.7132349841344852e-13,-9.3646334877353e-13,0.0,0.0,0.0,0.0,0.0
223111000000,11137,223111000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805280647693e-12,-7.161264014192317e-13,-2.7691403703214494e-13,1.713234976825357e-13,-9.364633496032063e-13,0.0,0.0,0.0,0.0,0.0
223131000000,11138,223131000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805273009496e-12,-7.16126402733872e-13,-2.7691403828737374e-13,1.7132349658512189e-13,-9.364633508477835e-13,0.0,0.0,0.0,0.0,0.0
223151000000,11139,223151000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805288269642e-12,-7.16126400107171e-13,-2.7691403577932436e-13,1.7132349877779917e-13,-9.3646334836098e-13,0.0,0.0,0.0,0.0,0.0
223171000000,11140,223171000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805278102683e-12,-7.161264018572271e-13,-2.769140374502492e-13,1.7132349731700305e-13,-9.36463350017848e-13,0.0,0.0,0.0,0.0,0.0
223191000000,11141,223191000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292504295402068e-10,5.98100236004484e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805278103568e-12,-7.161264018574121e-13,-2.7691403745027565e-13,1.7132349731708e-13,-9.364633500183037e-13,0.0,0.0,0.0,0.0,0.0
223211000000,11142,223211000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805283201678e-12,-7.161264009791248e-13,-2.7691403661206017e-13,1.7132349804957044e-13,-9.364633491863275e-13,0.0,0.0,0.0,0.0,0.0
223231000000,11143,223231000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805290825161e-12,-7.161263996671544e-13,-2.7691403535925394e-13,1.713234991449151e-13,-9.364633479443913e-13,0.0,0.0,0.0,0.0,0.0
223251000000,11144,223251000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805290830658e-12,-7.161263996656284e-13,-2.7691403535825005e-13,1.7132349914577034e-13,-9.364633479424633e-13,0.0,0.0,0.0,0.0,0.0
223271000000,11145,223271000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805280658481e-12,-7.161264014171081e-13,-2.7691403703036496e-13,1.713234976840808e-13,-9.364633496011264e-13,0.0,0.0,0.0,0.0,0.0
223291000000,11146,223291000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805273059492e-12,-7.161264027251936e-13,-2.769140382792752e-13,1.713234965922446e-13,-9.364633508395362e-13,0.0,0.0,0.0,0.0,0.0
223311000000,11147,223311000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805273027362e-12,-7.161264027306699e-13,-2.769140382844782e-13,1.7132349658768744e-13,-9.364633508445942e-13,0.0,0.0,0.0,0.0,0.0
223331000000,11148,223331000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805283213096e-12,-7.16126400977592e-13,-2.769140366105209e-13,1.713234980512052e-13,-9.36463349184991e-13,0.0,0.0,0.0,0.0,0.0
223351000000,11149,223351000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.98100236004484e-10,-5.203872888159822e-10,5.97718319284013e-10,1.2120805278117853e-12,-7.161264018543439e-13,-2.7691403744771615e-13,1.7132349731919217e-13,-9.364633500149237e-13,0.0,0.0,0.0,0.0,0.0
223371000000,11150,223371000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.98100236004484e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805288297737e-12,-7.161264001022427e-13,-2.7691403577470035e-13,1.7132349878187974e-13,-9.364633483562384e-13,0.0,0.0,0.0,0.0,0.0
223391000000,11151,223391000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805275580047e-12,-7.161264022912136e-13,-2.769140378649187e-13,1.7132349695437745e-13,-9.364633504285538e-13,0.0,0.0,0.0,0.0,0.0
223411000000,11152,223411000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805288293746e-12,-7.161264001029786e-13,-2.7691403577547543e-13,1.713234987811293e-13,-9.364633483569335e-13,0.0,0.0,0.0,0.0,0.0
223431000000,11153,223431000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.212080527559573e-12,-7.161264022888011e-13,-2.7691403786244383e-13,1.713234969566318e-13,-9.364633504264146e-13,0.0,0.0,0.0,0.0,0.0
223451000000,11154,223451000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805288277988e-12,-7.161264001057126e-13,-2.7691403577799554e-13,1.713234987789434e-13,-9.364633483596087e-13,0.0,0.0,0.0,0.0,0.0
223471000000,11155,223471000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805295925028e-12,-7.161263987891385e-13,-2.769140345209708e-13,1.7132349987782094e-13,-9.364633471128587e-13,0.0,0.0,0.0,0.0,0.0
223491000000,11156,223491000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.2120805290823966e-12,-7.161263996674332e-13,-2.7691403535946497e-13,1.7132349914482522e-13,-9.364633479447023e-13,0.0,0.0,0.0,0.0,0.0
223511000000,11157,223511000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.212080528064881e-12,-7.161264014188392e-13,-2.769140370316972e-13,1.713234976828683e-13,-9.364633496028365e-13,0.0,0.0,0.0,0.0,0.0
223531000000,11158,223531000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292504295402068e-10,5.98100236004484e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805278123443e-12,-7.161264018537629e-13,-2.7691403744685303e-13,1.7132349731998745e-13,-9.364633500145616e-13,0.0,0.0,0.0,0.0,0.0
223551000000,11159,223551000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292504295402068e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805278128444e-12,-7.161264018529082e-13,-2.7691403744616277e-13,1.713234973205016e-13,-9.364633500138605e-13,0.0,0.0,0.0,0.0,0.0
223571000000,11160,223571000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.212080527559044e-12,-7.161264022893545e-13,-2.7691403786328737e-13,1.7132349695585248e-13,-9.364633504266503e-13,0.0,0.0,0.0,0.0,0.0
223591000000,11161,223591000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805283190963e-12,-7.161264009811148e-13,-2.7691403661411136e-13,1.7132349804796131e-13,-9.364633491881969e-13,0.0,0.0,0.0,0.0,0.0
223611000000,11162,223611000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805295957189e-12,-7.16126398783432e-13,-2.7691403451578194e-13,1.7132349988236882e-13,-9.364633471072074e-13,0.0,0.0,0.0,0.0,0.0
223631000000,11163,223631000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203872888159822e-10,5.977165429271736e-10,1.212080528828994e-12,-7.161264001033849e-13,-2.769140357759928e-13,1.7132349878066885e-13,-9.364633483572102e-13,0.0,0.0,0.0,0.0,0.0
223651000000,11164,223651000000,,end,joint2,joint4,joint6,motortom2m,-3.604165854653729e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.97718319284013e-10,1.2120805288304005e-12,-7.161264001007943e-13,-2.769140357735335e-13,1.71323498782777e-13,-9.36463348354595e-13,0.0,0.0,0.0,0.0,0.0
223671000000,11165,223671000000,,end,joint2,joint4,joint6,motortom2m,-3.604156972869532e-10,6.292522058970462e-10,5.981020123613234e-10,-5.203881769944019e-10,5.977165429271736e-10,1.2120805285743136e-12,-7.161264005418952e-13,-2.7691403619456277e-13,1.71323498414782e-13,-9.3646334877251e-13,0.0,0.0,0.0,0.0,0.0
